,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,house_age,renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,221900,3,1,0.08714918759231906,0.0034214244146790612,1,0,0,3,7,0.12539851222104145,0.0,70,0,98178,47.5112,-122.257,0.21578099838969403,0.006485307621671258
1,538000,3,2,0.18980797636632202,0.004385478869222258,2,0,0,3,7,0.230605738575983,0.08298755186721991,74,1,98125,47.721,-122.319,0.2721417069243156,0.008768365472910928
2,180000,2,1,0.0568685376661743,0.006055618433060285,1,0,0,3,6,0.0818278427205101,0.0,92,0,98028,47.7379,-122.233,0.43800322061191627,0.009253902662993573
3,604000,4,3,0.1447562776957164,0.0030278092165301426,1,0,0,5,7,0.11158342189160468,0.1887966804979253,60,0,98136,47.5208,-122.393,0.21900161030595813,0.00573921028466483
4,510000,3,2,0.1240768094534712,0.004892939693912711,1,0,0,3,8,0.1785334750265675,0.0,38,0,98074,47.6168,-122.045,0.2898550724637681,0.008612258953168044
5,1225000,4,4,0.40029542097488924,0.06172491868818349,1,0,0,3,11,0.41339001062699254,0.31742738589211617,24,0,98053,47.6561,-122.005,0.7665056360708534,0.11699954086317722
6,257500,3,2,0.12666174298375185,0.004129326209503808,2,0,0,3,7,0.1822529224229543,0.0,30,0,98003,47.3097,-122.327,0.36038647342995167,0.007827134986225896
7,291850,3,1,0.07828655834564253,0.005880611060344843,1,0,0,3,7,0.1126461211477152,0.0,62,0,98198,47.4095,-122.315,0.26570048309178745,0.011146694214876032
8,229500,3,1,0.13146233382570163,0.004523546969496034,1,0,0,3,7,0.11158342189160468,0.15145228215767634,65,0,98146,47.5123,-122.337,0.286634460547504,0.009312442607897153
9,323000,3,2,0.1395864106351551,0.003972485692087547,2,0,0,3,7,0.20085015940488843,0.0,22,0,98038,47.3684,-122.031,0.38486312399355876,0.008689164370982553
10,662500,3,2,0.26292466765140327,0.005932083817025855,1,0,0,3,8,0.19766206163655686,0.35269709543568467,60,0,98007,47.6007,-122.145,0.355877616747182,0.010244490358126721
11,468000,2,1,0.08567208271787297,0.0036333710598361714,1,0,0,4,7,0.09139213602550478,0.06224066390041494,83,0,98115,47.69,-122.292,0.214170692431562,0.006887052341597796
12,310000,3,1,0.10561299852289513,0.012051286243633275,1,0,0,4,7,0.15196599362380447,0.0,98,0,98028,47.7558,-122.229,0.286634460547504,0.01457415059687787
13,400000,3,1,0.10118168389955687,0.005861838643202356,1,0,0,4,7,0.14558979808714134,0.0,48,0,98074,47.6127,-122.045,0.22061191626409019,0.011717171717171718
14,530000,5,2,0.13367799113737075,0.0029369749400342386,1,0,0,3,7,0.19234856535600425,0.0,125,0,98107,47.67,-122.394,0.21900161030595813,0.005567033976124885
15,650000,4,3,0.21787296898079764,0.0030278092165301426,2,0,3,3,9,0.2104144527098831,0.2012448132780083,46,0,98126,47.5714,-122.375,0.3446054750402576,0.004591368227731864
16,395000,3,2,0.1395864106351551,0.008502088280016641,2,0,0,3,7,0.20085015940488843,0.0,31,0,98019,47.7277,-121.962,0.30434782608695654,0.016090449954086317
17,485000,4,1,0.11816838995568685,0.0026039159262159226,1,0,0,4,7,0.17003188097768332,0.0,109,0,98103,47.6648,-122.343,0.25925925925925924,0.004935720844811754
18,189000,2,1,0.08862629246676514,0.005964784156564381,1,0,0,4,7,0.1275239107332625,0.0,104,0,98002,47.3089,-122.21,0.1706924315619968,0.005848255280073462
19,230000,3,1,0.09231905465288036,0.005918761456473123,1,0,0,4,7,0.13283740701381508,0.0,56,0,98003,47.3343,-122.306,0.20611916264090177,0.01015840220385675
20,385000,4,1,0.11964549483013294,0.003015697979664022,1,0,0,4,7,0.09139213602550478,0.15767634854771784,78,0,98133,47.7025,-122.341,0.22544283413848631,0.005716253443526171
21,2000000,3,2,0.22525849335302806,0.027169743223611584,1,0,4,3,9,0.24760892667375134,0.14937759336099585,57,0,98040,47.5316,-122.233,0.6618357487922706,0.023342516069788797
22,285000,5,2,0.16765140324963074,0.00381503961282798,2,0,0,3,8,0.2412327311370882,0.0,30,0,98092,47.3266,-122.169,0.3607085346215781,0.008040633608815427
23,252700,2,1,0.07902511078286559,0.005839432855000033,1,0,0,3,7,0.11370882040382571,0.0,40,0,98030,47.3533,-122.166,0.1964573268921095,0.009625803489439854
24,329000,3,2,0.1809453471196455,0.003936151981489186,2,0,0,4,8,0.2603613177470776,0.0,40,0,98030,47.3739,-122.172,0.35426731078904994,0.007879935720844812
25,233000,3,2,0.12629246676514033,0.002844323978008416,1,0,0,5,6,0.18172157279489903,0.0,84,0,98002,47.3048,-122.218,0.16586151368760063,0.005400596877869605
26,937000,3,1,0.1809453471196455,0.0016295669203365227,2,0,0,3,8,0.18597236981934112,0.14522821576763487,110,0,98119,47.6386,-122.36,0.2834138486312399,0.0041012396694214874
27,667000,3,1,0.103397341211226,0.0009573932742668311,1,0,0,5,8,0.1487778958554729,0.0,116,0,98112,47.6221,-122.314,0.2995169082125604,0.004431818181818182
28,438000,3,1,0.11225997045790251,0.003863484560292462,1,0,0,3,7,0.08395324123273114,0.15145228215767634,77,0,98115,47.695,-122.304,0.24476650563607086,0.007156795224977044
29,719000,4,2,0.18980797636632202,0.004343695102034143,2,0,0,3,8,0.2731137088204038,0.0,20,0,98052,47.7073,-122.11,0.42351046698872785,0.006916896235078053
30,580500,3,2,0.17134416543574593,0.0024101361363579937,2,0,0,3,8,0.24654622741764082,0.0,22,0,98027,47.5391,-122.07,0.41545893719806765,0.004568411386593205
31,280000,2,1,0.0878877400295421,0.0007660357317821261,3,0,0,3,7,0.12646121147715197,0.0,20,0,98133,47.7274,-122.357,0.22383252818035426,0.0020156106519742885
32,687500,4,1,0.17208271787296897,0.0030278092165301426,1,0,0,4,7,0.16046758767268862,0.17012448132780084,96,0,98117,47.6823,-122.368,0.23510466988727857,0.00573921028466483
33,535000,3,1,0.08050221565731167,0.0018166855299180857,1,0,0,4,8,0.11583421891604676,0.0,96,0,98117,47.6889,-122.375,0.2528180354267311,0.005831037649219467
34,322500,4,2,0.15214180206794684,0.004032436314574844,1,0,0,3,7,0.13602550478214664,0.16182572614107885,44,0,98058,47.4276,-122.157,0.3252818035426731,0.010009182736455464
35,696000,3,2,0.16986706056129985,0.0018530192405164473,1,0,0,3,8,0.16046758767268862,0.16390041493775934,95,1,98115,47.6827,-122.31,0.2560386473429952,0.003746556473829201
36,550000,4,1,0.12259970457902511,0.021102619115528482,1,0,0,1,5,0.09883103081827843,0.15145228215767634,92,0,98052,47.6621,-122.132,0.34782608695652173,0.013162304866850322
37,640000,4,2,0.17429837518463812,0.0036333710598361714,2,0,0,4,8,0.2507970244420829,0.0,121,0,98107,47.6702,-122.362,0.2785829307568438,0.00539485766758494
38,240000,4,1,0.09010339734121123,0.00488991188469618,1,0,0,2,7,0.09458023379383634,0.06846473029045644,56,0,98001,47.3341,-122.282,0.20772946859903382,0.008953168044077135
39,605000,4,2,0.1935007385524372,0.004573808602490434,2,0,0,3,8,0.2784272051009564,0.0,29,0,98056,47.5301,-122.18,0.4219001610305958,0.013640955004591369
40,625000,4,2,0.18980797636632202,0.0033427013750492777,2,0,0,3,9,0.2731137088204038,0.0,25,0,98074,47.6145,-122.027,0.3977455716586151,0.006507116620752984
41,775000,4,2,0.31166912850812406,0.014646118742199607,1,0,0,3,8,0.2763018065887354,0.3360995850622407,41,0,98166,47.445,-122.347,0.38808373590982287,0.03514348025711662
42,861990,5,2,0.2655096011816839,0.003414763234402695,2,0,0,3,9,0.3820403825717322,0.0,11,0,98053,47.6848,-122.016,0.5837359098228664,0.006472681359044995
43,685000,3,1,0.11595273264401773,0.001380681002737745,2,0,0,3,7,0.16684378320935175,0.0,103,0,98119,47.6413,-122.364,0.25442834138486314,0.0030303030303030303
44,309000,3,1,0.09453471196454949,0.005847305158963012,1,0,0,4,6,0.09776833156216791,0.07468879668049792,66,0,98058,47.4485,-122.175,0.21578099838969403,0.010110192837465564
45,488000,3,2,0.23338257016248154,0.008237457754491907,2,0,0,3,8,0.33581296493092455,0.0,22,0,98019,47.7443,-121.977,0.49114331723027377,0.010596877869605142
46,210490,3,1,0.07311669128508123,0.0051642313997138116,1,0,0,3,6,0.10520722635494155,0.0,59,0,98023,47.3066,-122.371,0.19774557165861514,0.01014692378328742
47,785000,4,2,0.16912850812407682,0.008124217689793678,2,0,0,4,9,0.24335812964930925,0.0,44,0,98007,47.6194,-122.151,0.43156199677938806,0.01570821854912764
48,450000,3,1,0.09231905465288036,0.003610965271633848,1,0,0,4,7,0.13283740701381508,0.0,72,0,98115,47.6796,-122.301,0.15619967793880837,0.005853994490358127
49,1350000,3,2,0.2033234859675037,0.03936454762410838,1,1,2,5,9,0.23007438894792773,0.12199170124481327,72,0,98070,47.4041,-122.451,0.43156199677938806,0.08323347107438017
50,228000,3,1,0.0878877400295421,0.005570563396572157,1,0,0,3,7,0.12646121147715197,0.0,70,0,98148,47.4258,-122.322,0.19162640901771336,0.010748393021120293
51,345000,5,2,0.2326440177252585,0.005531201876757264,1,0,0,4,8,0.1742826780021254,0.3132780082987552,59,0,98056,47.4934,-122.189,0.32045088566827695,0.010483241505968778
52,600000,3,1,0.10413589364844904,0.0024706923206885964,1,0,0,4,7,0.10626992561105207,0.08506224066390042,75,0,98117,47.6808,-122.384,0.22705314009661837,0.004683195592286501
53,585000,2,1,0.14623338257016247,0.005177553760266544,1,0,0,3,7,0.10520722635494155,0.2053941908713693,44,0,98117,47.6989,-122.369,0.23832528180354268,0.007734159779614325
54,920000,5,2,0.2016248153618907,0.0036333710598361714,1,0,0,3,8,0.2263549415515409,0.12448132780082988,98,0,98105,47.6571,-122.281,0.4396135265700483,0.006887052341597796
55,885000,4,2,0.20901033973412111,0.0030278092165301426,2,0,0,3,9,0.3007438894792774,0.0,30,0,98105,47.6597,-122.29,0.3140096618357488,0.00573921028466483
56,292500,4,2,0.16617429837518463,0.002722000485660598,2,0,0,3,7,0.23910733262486716,0.0,17,0,98042,47.3663,-122.114,0.36231884057971014,0.005165289256198347
57,301000,3,2,0.17872968980797638,0.0028764187557036355,2,0,0,3,8,0.25717321997874604,0.0,22,0,98042,47.3663,-122.122,0.4331723027375201,0.0054522497704315885
58,951000,5,3,0.24002954209748892,0.008684967956695062,2,0,4,4,8,0.34537725823591925,0.0,57,0,98008,47.588,-122.116,0.47665056360708535,0.012676767676767677
59,430000,4,3,0.13663220088626293,0.006041084948820941,2,0,0,3,8,0.19659936238044634,0.0,34,0,98059,47.5059,-122.149,0.36553945249597425,0.009804866850321396
60,650000,3,2,0.1587887740029542,0.012859105742603516,1,0,3,4,8,0.1689691817215728,0.11618257261410789,66,0,98166,47.4336,-122.339,0.4138486312399356,0.02169421487603306
61,289000,3,1,0.0930576070901034,0.00508671948377064,1,0,0,3,7,0.1339001062699256,0.0,71,0,98148,47.4366,-122.335,0.20772946859903382,0.010043617998163452
62,505000,3,1,0.1860413589364845,0.005262332418329388,2,0,0,5,8,0.2676939426142402,0.0,52,0,98166,47.4428,-122.344,0.4025764895330113,0.010904499540863177
63,549000,3,1,0.1137370753323486,0.0006322065644114938,3,0,0,3,8,0.1636556854410202,0.0,11,0,98115,47.6765,-122.32,0.25442834138486314,0.003546831955922865
64,425000,3,2,0.12259970457902511,0.0036333710598361714,1,0,0,3,7,0.1179596174282678,0.11410788381742738,46,0,98122,47.6113,-122.297,0.2318840579710145,0.004683195592286501
65,317625,3,2,0.20457902511078285,0.0023065850611526627,1,0,0,5,7,0.18809776833156217,0.2074688796680498,100,0,98144,47.5747,-122.304,0.2318840579710145,0.004591368227731864
66,975000,4,2,0.20088626292466766,0.00669085280668831,2,0,0,3,10,0.28905419766206164,0.0,36,0,98004,47.5815,-122.192,0.4428341384863124,0.012682506887052341
67,287000,4,2,0.1654357459379616,0.0028146514476864205,2,0,0,3,7,0.23804463336875664,0.0,20,0,98001,47.3378,-122.257,0.3576489533011272,0.005230716253443526
68,204000,3,1,0.07385524372230429,0.007309131448703764,1,0,0,4,7,0.10626992561105207,0.0,57,0,98042,47.3621,-122.11,0.16264090177133655,0.014502984389348026
69,1325000,5,2,0.2363367799113737,0.012206915637362923,1,0,0,3,8,0.17003188097768332,0.33195020746887965,60,0,98004,47.6303,-122.215,0.5458937198067633,0.023138200183654728
70,1040000,5,3,0.3522895125553914,0.030335014978572192,1,0,0,4,11,0.32624867162592985,0.35269709543568467,52,0,98005,47.6525,-122.16,0.5684380032206119,0.04467056932966024
